# strain break_r
0.0000 3.9539
0.0010 3.9562
0.0020 3.9548
0.0030 3.9552
0.0040 3.9532
0.0050 3.9516
0.0060 3.9522
0.0070 3.9539
0.0080 3.9552
0.0090 3.9533
0.0100 3.9530
0.0110 3.9469
0.0120 3.9478
0.0130 3.9381
0.0140 3.9230
0.0150 3.9111
0.0160 3.7700
0.0170 3.6472
0.0180 3.5607
0.0190 3.4922
0.0200 3.4371
0.0210 3.3886
0.0220 3.3446
0.0230 3.3053
0.0240 3.2687
0.0250 3.2369
0.0260 3.2059
0.0270 3.1780
0.0280 3.1512
0.0290 3.1244
0.0300 3.0998
0.0310 3.0773
0.0320 3.0547
0.0330 3.0340
0.0340 3.0127
0.0350 2.9931
0.0360 2.9753
0.0370 2.9557
0.0380 2.9369
0.0390 2.9194
0.0400 2.9026
0.0410 2.8858
0.0420 2.8696
0.0430 2.8538
0.0440 2.8375
0.0450 2.8218
0.0460 2.8053
0.0470 2.7891
0.0480 2.7726
0.0490 2.7562
0.0500 2.7389
0.0510 2.7205
0.0520 2.6976
0.0530 2.6766
0.0540 2.6423
0.0550 2.5996
0.0560 2.4515
